id;title;date;
304;Новий потяг Варварівський - Гребінка запускають на Чернігівщині;2021-10-22 14:26:53;
305;В Ніжині відбувся міжнародний інвестиційний форум;2021-10-23 07:09:46;
306;Вперше за 50 років ремонтується дорога на ділянці Макиївка-Новий Биків на Чернігівщині;2021-10-23 09:26:03;
307;Поблизу села Хотинівка Ніжинського району браконьєри підстрелили фермера;2021-10-23 12:31:20;
308;60 дерев висадили по вул. Мстиславська в Чернігові;2021-10-24 07:36:19;
309;На дорозі Чернігів - Славутич готуються до капремонту 3 мостів;2021-10-24 07:44:13;
310;У Прилуках в бібліотеці ім. Л.Забашти презентували новий роман Олени Печорної;2021-10-24 10:03:33;
311;"Наявність сертифікату або ПЛР-тест у продавців та відвідувачів - умови для роботи ринку в ""червоній зоні""";2021-10-24 10:29:04;
312;У Борзнянському районі провели леогкотлетичні змагання «Олімпійські сходинки» (фотозвіт);2021-10-25 06:39:46;
313;Два нові ландшафтні заказники з’явилися на Чернігівщині;2021-10-25 07:58:26;
314;Недалеко от Смолина в Черниговском районе разрабатывают новое месторождение торфа;2021-10-25 13:45:13;
315;Розрахунок прожиткового мінімуму в Україні змінять.;2021-10-26 05:46:10;
316;Тариф на доставку газа может поднятся в 3 раза;2021-10-26 06:16:29;
317;У Семенівці продовжується битва за врожай;2021-10-26 12:45:17;
318;Чернігівщина рухається до безбар’єрності;2021-10-26 15:57:57;
319;Режим економії опалення хочуть запровадити у Чернігівських школах;2021-10-27 06:25:02;
320;Мешканець ніжинського району став жертвою кібер-злочинців;2021-10-27 06:54:35;
321;Вирішується доля Ніжинської районнної лікарні;2021-10-27 07:11:25;
322;У Качанівці альтанку Глібова рятують від руйнування;2021-10-27 10:45:54;
323;"Черниговская область в ""красной зоне"" как будет работать система образования";2021-10-27 15:44:05;
324;Як працюватиме громадський транспорт Чернігова у період карантину;2021-10-27 20:02:06;
325;На Чернігівщині СБУ викрила корупційну схему збагачення чиновників одного із комунальних лісгоспів;2021-10-28 06:43:31;
326;Переглянути механізм компенсацій місцевим бюджетам різниці у тарифах на тепло закликав уряд Владислав Атрошенко;2021-10-28 07:08:30;
327;Юлія Батура новий директор РЛП «Ялівщина»;2021-10-28 08:25:10;
328;60 річний ювілей відзначив інститут сільськогосподарської мікробіології та АПВ НААН м. Чернігіва;2021-10-28 08:41:05;
329;Правоохоронці проводять обшуки на комунальних підприємствах Чернігова;2021-10-28 12:37:19;
330;СБУ викрила посадовців Чернігівської міськради на розкраданні коштів;2021-10-28 18:07:28;
331;"30 - 31 жовтня - відкритий міський фестиваль-конкурс української патріотичної пісні ""ПОКЛИК СЕРЦЯ""";2021-10-29 05:16:40;
332;На Чернігівщині розпочався осінній призов на строову військову службу;2021-10-29 05:41:35;
333;Чернігівська ОДА ініціює інвентаризацію газових мереж;2021-10-29 05:49:37;
334;Чернігівська обласна рада звернулася до Уряду щодо стану річки Остер;2021-10-29 06:03:33;
335;"Як працюватимуть заклади культури в ""красній зоні""";2021-10-30 07:40:56;
336;Новая аллея возле дворца бракосочетания в Чернигове;2021-10-30 08:05:03;
337;ЦВК призначила довибори до Ради в окрузі №206;2021-10-30 08:10:45;
338;В Ніжині йде ремонт центральної частини міста (фотозвіт);2021-10-30 08:28:25;
339;Шоста частина земель сільськогосподарського призначення в Україні обробляється незаконно;2021-10-30 09:25:10;
340;На Черниговщине действует запрет на отлов рыбы;2021-10-31 09:03:19;
341;"Тролейбус №1 снова будет ходить до ""Сиверянки""";2021-10-31 09:14:44;
342;В Прилуках за долги хотят отрезать канализацию;2021-10-31 10:57:23;
343;"Податкова у Чернігівській області викритла ""схему""на суму 4,4 млн гривень";2021-10-31 14:46:13;
344;Первые последствия ограничений для жителей Чернигова;;
345;Лідери громадських обє’днань Чернігівщини зібрались в Ніжині на обговорення;2021-11-01 07:27:05;
346;Чернігівський дітсадок №66 досі без опалення чи закриють заклад?;2021-11-01 07:42:01;
347;Діджиталізація Ніжинської міськради триває - електронний обіг документів (відео);2021-11-01 07:56:13;
348;При пополнении електронной транспортной карты в Чернигове с 1 ноября взымается комисия;2021-11-01 08:51:07;
349;В Україні хочуть почати щепити від Коронавірусу дітей віком від 12 років;2021-11-01 10:48:25;
350;До 27 листопада вул. Київську в Чернігові буде перекрито;2021-11-01 11:02:22;
351;Пограничники Черниговского отряда задержали нарушителя;;
352;Чернігівські медики планують придбати пересувний мамографічний комплекс;2021-11-01 14:50:29;
353;Дожилися..... Европейці підроблюють білоруські краски;2021-11-01 18:35:49;
354;Мер Чернігова вимагає від влади справедливих компенсацій різниці у тарифах на газ для мешканців міста;2021-11-02 09:32:07;
355;Новгород-Сіверський міський голова Людмила Ткаченко отримала подарунок - нове авто Renault SANDERО;2021-11-02 10:00:03;
356;Наши чемпионы;2021-11-02 10:38:50;
357;Семінар-наради для директорів навчальних закладів, дитячих садків щодо впровадження системи безпечного і здорового харчування у закладах освіти;2021-11-02 12:22:53;
358;З Ічні на Прилуки поїздом в тому числі для пільгових категорій громадян;2021-11-02 13:58:56;
359;На порозі транспортного колапсу - у Прилуках зупинка метанової заправки;2021-11-03 06:39:05;
360;Навіщо газові труби хочуть передати громадам? Чи не перекладають відповідальність за ремонт на плечі пересічних громадян?;2021-11-03 07:50:33;
361;В Києві проходять масові митинги проти обмеження прав людей при застосуванні локдауну (відео);2021-11-03 11:02:02;
362;У Пакулі Чернігівського району висаджували дерева;2021-11-04 06:56:38;
363;ДТП біля Количівки - загинув 34-річний пасажир;2021-11-04 09:35:14;
364;Борьба за сохранение Семеновского лесхоза семеновцы вышли под КабМин;2021-11-04 10:21:44;
365;Е-лікарняний: актуальна інформація для громадян;2021-11-04 12:56:12;
366;Три дні без газу - жителі Понорниці перекривали трасу Чернігів-Гремяч для виришення питання;2021-11-04 13:14:02;
367;"в Чернигове мошенники ""разводят"" детей на деньги";2021-11-04 14:20:12;
368;Нову уніфіковану методику оцінки земель ухвалив уряд;2021-11-05 07:20:31;
369;Де в Чернігові можна повірити лічильники води без демонтажу?;2021-11-05 07:47:34;
370;Тупичівська сільска рада допомогає ремонтувати будинок культури у Вихвостові;2021-11-05 09:15:52;
371;Ніжин зустрів почесних гостей з Польщі;2021-11-05 14:05:25;
372;У Носівці ремонтують стадіон (фотозвіт);2021-11-06 07:27:18;
373;Працівнику поліції Чернігівської області повідомлено про підозру - при затриманні жорстоко побив чоловіка;2021-11-06 08:02:03;
374;Терцентр Монастирищенської міської ради - працівникам соціальної служби вручені два велосипеди та п’ять тонометрів;2021-11-06 08:17:54;
375;У Ніжині скаржаться на аварійні дороги (фотозвіт);2021-11-07 07:04:10;
376;Податки для підприємців в Україні зростуть;2021-11-07 07:39:41;
377;Соревновани по автомодельному спорту проходили в Чернигове;2021-11-07 11:08:14;
378;"На Черниговщине в парке природы ""Беремицкое"" будут разводить благородных оленей.";2021-11-08 06:17:54;
379;Почему оформить субсидии стало тяжелее;2021-11-08 06:52:05;
380;В нежинском районе пробемы с связью;2021-11-08 09:04:05;
381;Чернігів змінюється на краще;2021-11-09 05:33:24;
382;На Чернігівщині з 6 листопада почався сезон полювання;2021-11-09 05:32:50;
383;Сьогодні день української писемності та мови;2021-11-09 09:39:29;
384;Почему мировые цены на продукты будут рости и дальше поясняет экономист;2021-11-09 12:50:11;
385;До України завезли небезпечне м’ясо. Будьте обережні;2021-11-09 14:50:07;
386;За газ платитимемо по-новому не за куби, а за енерго одиниці...;2021-11-10 06:39:28;
387;В день Української мови бібліотеку у Прилуцькому районі  відвідав гість з Чикаго;2021-11-10 07:27:51;
388;Скоро може з’витися швидкісний потяг Чернігів-Київ;2021-11-10 08:06:40;
389;Перевірка якості продуктів харчування у домашніх умовах (відео);2021-11-10 15:09:27;
390;Органи охорони здоров’я Франції не рекомендують вакцину Moderna COVID-19 людям молодшим 30 років;2021-11-11 06:46:22;
391;В Україні вводять е-аудит, що дозволить проводити податкові перевірки без контакту податкового інспектора з підприємством;2021-11-11 06:46:52;
392;В Ічні обговорювали заходи техногенної безпеки та профілактики хвороб. Гімназія №1 на карантині до 21.11.2021;2021-11-11 10:16:22;
393;Чернігівський автозавод відвідали депутати;2021-11-11 10:47:31;
394;Плани розвитку громадського транспорту Чернігова;2021-11-11 19:31:14;
395;У Городні вимагають роз’яснень міської ради щодо оплати тестувань на корронавірусну інфекцію за рахунок вчителів;2021-11-12 07:00:53;
396;Мешканцям зруйнованого гуртожитка по вул. Попудренка 16 продлили всі угоди на проживання;2021-11-12 07:31:41;
397;В Ольшані ічнянського району ремонтують міст (фотозвіт);2021-11-12 13:11:43;
398;34 ноутбуки для вчителів Новгород-Сіверської громади;2021-11-12 13:26:03;
399;В Ічнянському районі висадили 2,3 га дерев (фотозвіт);2021-11-13 06:51:32;
400;Старостинські округи об’єднають відповідно до вимог чинного законодавства;2021-11-13 07:47:48;
401;Бобровицькій Молодіжній раді виповнюється рік;2021-11-13 07:56:46;
402;Чернігівобленерго повідомив - взимку можливі відключення електроенергії;2021-11-13 16:08:56;
403;"Прийом з особістих питань на ""виїзді"" проводила Новгород-Сіверська районна адміністрація";2021-11-14 06:33:58;
404;У Борзні відремонтовано стадіон (фотозвіт);2021-11-14 06:51:18;
405;В Тупичеві для представників громади проводили семінар (фотозвіт);2021-11-14 07:09:00;
406;Сільські та селищні очільники обговорювали питання взаємодії з підприємствами охорони здоров’я;2021-11-14 07:31:41;
407;У Прилуцькому районі вирішують проблеми зв’язку між округами територіальних громад;2021-11-15 06:32:25;
408;"Колишній дитячий табір ""Дружба"" змінив власника";2021-11-15 06:56:39;
409;Чернігівська самбістка Юлія Гребеножко виборола «золото» на чемпіонаті світу;2021-11-15 10:41:21;
410;Поліція Чернігівщини просить на допомогу у розшуку водія легковика що скоїв ДТП у Ніжині;2021-11-15 11:01:33;
411;Тупичівська територіальна громада розробляє новий Статут;2021-11-15 12:17:46;
412;З 1 січня в Україні всім ФОПам 2-4 групи потрібно мати касові апарати;2021-11-16 07:04:44;
413;Куліківська громада затвердила програму розвитку на 2021-2023 роки;2021-11-16 08:31:51;
414;У Ніжині литовським інвесторам презентували інвестиційні проекти;2021-11-16 12:13:13;
415;Міністерство освіти і науки рекомендує відновити очний освітній процес у школах;2021-11-17 06:06:20;
416;Чернігівський автозавод продав 27 автобусів;2021-11-17 07:01:18;
417;Поліція Прилуччини розшукує зниклого безвісти 16-річного хлопця;2021-11-17 10:42:20;
418;На Чернігівщині поліція викрила «банківського» шахрая;2021-11-18 06:29:04;
419;Чернігівськ райони об’єдналися - стели з назвами лишилися;2021-11-18 06:17:49;
420;У Новгород-Сіверському молодь долучилася до вирішення питань благоустрою міста;2021-11-18 08:42:26;
421;Бронзовий призер чемпіоната Європи з армспорту з Борзни;2021-11-18 10:38:46;
422;Чернігівські кік-боксери вибороли низку нагород на всеукраїнських змаганнях у Харкові;2021-11-18 19:51:22;
423;У Чернігові перекривається рух автотранспорту  на перехресті вул. Пухова з вул. Всіхсвятською;2021-11-18 20:07:03;
424;Віртуальний тур прилуцькою фортецею  запропонував краєзнавчий музей імені В.І.Маслова;2021-11-19 05:53:06;
425;Соціальна срямованість бюджету Чернігова у 2022 році - 366 мільйонів на соціальні програми;2021-11-19 13:03:43;
426;Облгаз ухиляється від виконання своїх зобов’язань? Газорозподільча система потребує ремонту - тепер її передають людям;2021-11-19 14:25:41;
427;Будьте обережні - Приват Банк повідомив про нову шахрайську схему;2021-11-20 07:11:08;
428;Кубок України з кікбоксингу проходить у Чернігові;2021-11-20 07:59:16;
429;Виставка керамічних іграшок-свищиків майстрині Ольги Баєвої відкрилася в чернігівському музеї Тарновського;2021-11-20 08:16:59;
430;Аварійні відключення в мережах - Чернігівобленерго ліквідує наслідки негоди;2021-11-21 06:32:54;
431;В Іржавці Ічнянського району пройшли змагання клубного чемпіонату Чернігівської області з настільного тенісу;2021-11-21 06:48:21;
432;Поліцейські Чернігівщини допомагають громадянам долати наслідки буревію;2021-11-21 07:09:59;
433;Сорт картоплі, який не цікавий колорадському жуку;2021-11-21 09:36:53;
434;У Новгород-Сіверському почали облагорожувати парк (фотозвіт);2021-11-22 06:14:08;
435;В Грем’ячі побудували амбулаторію, але не ввели в експлуатацію;2021-11-22 06:37:08;
436;В Чернігові цієї зими працюватимуть пункти обігріву;2021-11-22 07:37:25;
437;Чернігівводоканал запускає мобільний додаток для передачі показників;2021-11-22 07:51:21;
438;Черниговские велосипедисты получат комфортные условия для занятий;2021-11-22 14:27:16;
439;Ксерокопії паспорту більше не знадобляться;2021-11-23 06:26:14;
440;У Вихвостові небайдужі мешканці збудували спортивний майданчик (фотозвіт);2021-11-23 06:49:14;
441;Авомобильный мост возле Сновска в процессе капитального ремонта;2021-11-23 07:21:40;
442;На Черниговщине чрезвычайная ситуация социального характера;2021-11-23 08:08:22;
443;Чернігівщина осіння в об’єктиві - роботи фотохудожника з Городні Олександра Арендара;2021-11-23 15:08:56;
444;В Чернігівській області вдкрився 33 Центр надання адміністративних послуг;2021-11-23 13:42:43;
445;За первые месяцы работы камер фиксации, водителям Чернигова выписали 8049 протоколов.;2021-11-24 07:03:09;
446;Розпочалася спеціальна прикордонна операція для посилення охорони кордону з Білоруссю;2021-11-24 10:11:54;
447;Ковзанка та встановлення новорічної ялинки, як святкуватимуть Чернігівці цього року;2021-11-24 11:46:12;
448;Акція під міською радою проти знищення Ялівщини;2021-11-24 15:05:10;
449;Улицу Киевскую скоро откроют для транспорта;2021-11-25 09:04:08;
450;В селі Іваниця Ічнянського району багатодітна родина отримала нетельну корову;2021-11-25 09:03:54;
451;Черниговская областная больница завершает ремонт хирургического отделения;2021-11-25 09:51:29;
452;На Черниговщине земля с историческими памятниками в 2 тыс лет ушла с молотка. Прокуратура признала сделку незаконной.;2021-11-25 10:27:18;
453;В Ичне хотят возобновить работу автостанции;2021-11-25 14:51:06;
454;В Новгород-Северском искали новые подходы в сельском хозяйстве в условиях изменения климата;2021-11-26 07:19:12;
455;Мер обещал - люди не верили. Акция против приватизации Еловщины;2021-11-26 08:15:36;
456;У Прилуках оптимізували вуличне освітлення та навчальні заклади;2021-11-26 09:08:11;
457;Профспілка освітян та науковців України продовжує кампанію з захисту прав непривитих працівників.;2021-11-26 10:06:16;
458;Первую партию радиоактивных отходов передали в Центральное хранилище в Чернобыле;2021-11-26 13:10:19;
459;Сховище вогнепальної зброї буле знайдено полбизу кордону Росії та Білорусії (фото);2021-11-26 14:22:47;
460;Чернігівська облспоживспілка відкрила новий продуктовий магазин в Городні;2021-11-27 06:34:52;
461;Новий автобус та нова роздягальня на стадіоні - Талалаївка з обновками, а депутати пропіарилися;2021-11-27 07:06:27;
462;Ювілей у 100 років відзначала громада Рибинського старостинського округу;2021-11-27 07:50:59;
463;Чернігівському театру ляльок виповнилося 45 років;2021-11-27 08:21:26;
464;Остання субота листопада день пам’яті жертв голодомора;2021-11-27 20:09:33;
465;Перевернулся трактор, погиб мужчина;2021-11-28 06:46:45;
466;В Гончаровске начала работу станция полиции;2021-11-28 07:08:53;
467;На дерев’яному мості у Коропі застрягла вантажівка (фотозвіт);2021-11-28 07:35:18;
468;Прилуцкие легкоатлеты завоевали первенство на чемпионате Полтавской области;2021-11-28 16:35:02;
469;В Чернігівській області знешкодили протитанкову міну другої світової вйни;2021-11-28 20:09:25;
470;В Корюківській РДА хочуть налагодити поставки зрідженого газу;2021-11-28 20:37:42;
471;"""Кудрівка-2"" та ""Прогрес"" з Остапівки завершили футбольний сезон 2021 року на Чернігівщині";2021-11-29 07:17:16;
472;Куліківська громада створює простір для навчання підприємницькій діяльності та профоріентації молоді;2021-11-29 07:43:20;
473;Через пошкодження тепломережі - в Ніжині деякі будинки без опалення;2021-11-29 08:15:37;
474;Бардак на Музыкальной, 9 в Чернигове;2021-11-29 12:03:24;
475;Убийство по неосторожности. В Черниговской области погиб полицейский;2021-11-29 14:15:36;
476;Завершується ремонт дороги у с. Киїнка;2021-11-29 17:16:20;
477;Музею імені В.В. Тарновського виповнилося 125 років;2021-11-29 19:27:52;
478;Грошові перекази Українців перевірятимуть за новими правилами;2021-11-30 06:34:31;
479;Незареєстровані мобільні телефони можуть відключити;2021-11-30 07:10:23;
480;Сильный ветер оставил  без електричества 63 населенных пункта в Черниговской области;2021-11-30 10:24:40;
481;В Черниговской области еще 8 населенных пунктов получили скоростной интернет;2021-11-30 14:52:35;
482;Активисты добились конструктивного решения по Еловщине;2021-11-30 19:04:17;
483;В Черниговской области пройдет международный фестиваль документального кино;2021-12-01 08:06:23;
484;Громадянин Китаю та білоруський виробник теплоізоляції хочуть придбати Козелецький льонозавод;2021-12-01 09:05:29;
485;Бесплатных пластиковых пакетов в магазинах больше не будет;2021-12-01 10:35:50;
486;В Чернігівській області у співробітників харчоблоків навчальних закладів було виявлено стафілокок;2021-12-01 14:52:05;
487;Около пятисот жителей железнодорожного общежития под угрозой выселения;2021-12-01 17:54:43;
488;У День боротьби зі СНІДом в Чернигівській ОДА пройшов брифінг;2021-12-02 06:17:36;
489;В Чернігові визначили переможців конкурсу проектів які спрямовані на роботу з молоддю;2021-12-02 06:46:50;
490;Міська рада планує підняти ціни на харчування дітей в закладах освіти;2021-12-02 07:03:24;
491;В Чернігові горіла маршрутка;2021-12-02 08:29:32;
492;Село Нехаївка Коропської громади отримала свою амбулаторію;2021-12-02 08:52:06;
493;Поліція Чернігівської області запускає сервіс на основі Гугл карт;2021-12-02 09:52:16;
494;На Чернігівщині зафіксували проблеми з питною водою;2021-12-02 15:02:10;
495;На Чернігівщині прикордонники проводили масштабні навчання;2021-12-03 06:03:49;
496;Мешканець Ніжина залишив без води людей з 3 вулиць;2021-12-03 06:22:22;
497;ЛІга ділових та професійних жинок України проводитиме форум в Чернігові;2021-12-03 06:49:56;
498;Чернігівські родини отримають допомогу при народженні дитини;2021-12-03 07:16:37;
499;Самые большие зарплаты в Черниговской области в Прилуцком районе;2021-12-03 07:38:56;
500;Около сотни объектов демонтируют в Чернигове;2021-12-03 10:16:38;
501;Колишній посадовець з управління юстиції Чернігівської області отримав реальний строк;2021-12-03 11:43:40;
502;У Коропі переймають кращий европейській досвід;2021-12-04 06:00:28;
503;"Реабілітаціний  центр ""Відродження"" вже 25 років надає допомогу тисячам хворим дітям";2021-12-04 06:45:57;
504;У Ніжині вандали псують щойно відремонтовану алею;2021-12-04 08:44:34;
505;Корюківський центр дитячої та юнацької творчості проводив конкурс;2021-12-04 09:31:45;
506;"У Тупичевській громаді запрацює програма ""соціальний велосипед""";2021-12-04 09:58:07;
507;Переможці обласного конкурс патріотичних відеороликів отримали призи;2021-12-04 13:02:53;
508;"Первый Черниговский небоскреб повится в районе ""Градецкого""";2021-12-05 11:03:18;
509;В Черниговской области 650 га земли незаконно передали в аренду;2021-12-06 06:44:26;
510;В Новгород-Северском откроют центр развития предпринимательства;2021-12-06 07:16:17;
511;Поліція Чернігівщини та три громади підписали меморандум про співпрацю;2021-12-06 08:16:40;
512;В 2022 году Варва планирует выделить 450 000 гривен на жилье и поощрения медработников;2021-12-06 09:26:11;
513;В Верховной Раде предлагают вернуть государственное регулирование цен на продукты питания;2021-12-06 13:24:37;
514;"В Мені відкрито ""соціальну пральню""";2021-12-06 13:56:49;
515;В Ичне разыскивают 30-летнего Сергея Боршоша;2021-12-06 14:11:48;
516;Возле Брусилова авария в маршрутке погибло 11 пассажиров.;2021-12-07 08:28:18;
517;В результате неблагоприятных погодных условий без электроснабжения остаются жители 46 населённых пунктов в Черниговском районе;2021-12-07 09:00:06;
518;Боксеры Черниговщины завоевали призовые места;2021-12-07 10:41:56;
519;В Нежине открыли социальный хаб для людей с инвалидностью;2021-12-07 17:01:16;
520;На форумі Ліги ділових та професійних жінок обговорювали партнерство (відео);2021-12-08 07:15:41;
521;"Черниговский музей им. Тарновского открыл выставку ""Индия. В поисках сказки""";2021-12-08 06:54:20;
522;В Прилуках боролись с трудоголизмом;2021-12-08 11:35:25;
523;Из-за погоды троллейбусы в Чернигове работают с перебоями;2021-12-08 15:11:54;
524;Сильный гололед;2021-12-08 16:54:30;
525;В Новгород-Северском депутат не доволен качеством ремонта моста;2021-12-09 06:16:37;
526;Депутатській подарок або дерибан землі? У Бахмачскому районі подарували 18 га;2021-12-09 07:27:22;
527;Як Іванов завод захищав (відео);2021-12-09 08:46:06;
528;Поліція Новгород-Сіверського оголосила підозру посадовцю про підробку документів;2021-12-09 14:50:09;
529;Колишній кінотеатр Щорса, або молодіжний центр отримає нове життя;2021-12-09 13:01:14;
530;Правила безопасности в гололед;2021-12-09 14:18:18;
531;В детской поликлинике на Рокосовского работают бассейны;2021-12-10 05:12:35;
532;Подготовка к празднику идет полным ходом;2021-12-10 05:27:55;
533;В Чернигове в следующем году начнут строительство ледовой арены;2021-12-10 08:36:47;
534;Прокуроры против депутатов - счет 6:3;2021-12-10 08:57:37;
535;Никогда такого не было и вот опять! Еловщину продолжают планомерно выпиливать (фото).;2021-12-10 10:10:36;
536;В Більмачівці запустили освітлення вулиць, або машина часу на Ічнянщині;2021-12-10 10:52:42;
537;Мужчину подрезавшего 15-летнего подростка в Чернигове - арестовали на 2 месяца;2021-12-10 11:21:51;
538;В Чернігові мітингувальники засудили обмеження прав українців в рамках законопроекту 4142;2021-12-12 18:16:30;
539;Черниговщина налаживает связи с Северной Македонией;2021-12-12 20:23:23;
540;В Талалаеке прошел турнир по бильярду;2021-12-13 06:31:56;
541;В Ніжині із 103 річчам привітали відому викладачку;2021-12-13 06:58:08;
542;З 18 грудня Дід Мороз відкриє офіс в Чернігові;2021-12-13 09:03:02;
543;Чернігів стає безпечнішим;2021-12-13 12:53:14;
544;В Прилуках презентовали экологичный автобус;2021-12-13 13:47:07;
545;Збірна Чернігівщини посіла призове міцє на Кубку України з настільного тенісу;2021-12-14 06:52:01;
546;Сергей Андрос оспаривает решение о постройке высотки во дворе Черниговской ОГА;2021-12-14 07:10:13;
547;Вишки мобільного зв’язку, молодіжний клуб, харчоблок для ДНЗ - у Корюківці затвердили бюджет;2021-12-14 07:42:17;
548;Осторожно!!! В Киеве обнаружили мясо зараженное сальмонелезом;2021-12-14 08:42:56;
549;В Чернігові суд визнав неправомірним відсторонення від роботи через відсутність вакцінації;2021-12-14 15:04:50;
550;В Чернігові судитимуть педофіла що протягом 2018-2021 років гвалтував неповнолітніх;2021-12-14 16:10:48;
551;Вигадували колесо, або як на Чернігівщині почали процес передачі газогону у власність громад;2021-12-15 07:03:05;
552;Новый детский сад в Коптях;2021-12-15 08:15:14;
553;Святкові ялинки та канікули - Чернігів готується до Нового року;2021-12-15 09:41:46;
554;В Березовой роще на Пухова строят систему водоотвода;2021-12-15 10:44:55;
555;Главный зал Черниговского почтамта закрыли;2021-12-15 12:35:41;
556;Варва выделила 300 000 грн на охрану природы;2021-12-15 13:16:21;
557;Чернігівець обурений вирубкою дерев та застройкою ганделиками поширив відкрите звернення через Фейсбук;2021-12-15 13:57:42;
558;В Халявине новая амбулатория;2021-12-16 06:45:57;
559;"В пятницу, во Дворце культуры ""Химиков"" мер презентует отчет о проделанной работе за 2021 год";2021-12-16 06:56:05;
560;"Заповедник ""Гентьманська столиця"" в этом году получил много предметов связанных с историей Украины";2021-12-16 07:15:18;
561;Чернигов начнет праздновать 19 декабря;2021-12-16 09:04:08;
562;18 декабря Дмитрий Митрофанов проведет рейтинговый бой в Броварах;2021-12-16 13:08:44;
563;Министр внутренних дел посетил Нежин;2021-12-16 16:27:02;
564;Прилуцькі школяри отримали дидактичні матеріали;2021-12-16 16:47:23;
565;Платить за детские кружки в Чернигове придется больше;2021-12-17 05:48:53;
566;В Ічні поновлено роботу автостанції;2021-12-17 06:25:43;
567;В Ніжині вперше відбудеться новорічний ярмарок;2021-12-17 07:32:51;
568;В селе Холмы Корюковского района открыли современный тренажерный зал;2021-12-17 08:20:54;
569;"В Чернигове поздравили победительниц конкурса ""Женщина года -2021""";2021-12-17 08:35:25;
570;"В Мені на Святого Миколая велопробіг ""ВелоМиколайчики:)"" та поздоровлення малечі";2021-12-17 14:43:44;
571;У Новгород-Сіверському хочуть продати Леніна;2021-12-17 15:21:32;
572;Центральная библиотека Нежина провела мастер класс для детей по изготовлению новогодних игрушек;2021-12-18 06:56:56;
573;В селі Камка, Холминської териториальної громади відкрили краєзнавчий музей;2021-12-18 08:14:46;
574;Завтра у Деда Мороза в Чернигове плотный график;2021-12-18 12:51:11;
